Model,CV F1
Random Forest,0.8073269193704368
XGBoost,0.7840513661290016
LightGBM,0.7747388679790602
Decision Tree,0.7742887946162224
Logistic Regression,0.7636484851782568
Gradient Boosting,0.7634794119281497
Linear SVC,0.6657088189340954
