Model,F1,Accuracy,PR-AUC
Random Forest,0.8101469223489556,0.8852439269223048,0.832144706156056
XGBoost,0.7822740301597478,0.9238305561132303,0.8415150717849285
LightGBM,0.7978224194397002,0.8655490865288095,0.8393541861752852
Decision Tree,0.7971334142521892,0.8775747841798835,0.7546507143662797
Logistic Regression,0.7635789543992869,0.8194539249146757,0.8059354521031734
