Model,F1,Accuracy,PR-AUC
Random Forest,0.8069982838933999,0.8892993374824333,0.812878122930595
XGBoost,0.810125624528688,0.8827544669745031,0.8379332630460277
LightGBM,0.8104541818621049,0.8872917084922707,0.8364805370634332
Decision Tree,0.8036724046069447,0.8891387271632203,0.7622474801777468
Logistic Regression,0.7684110748496109,0.8225255972696246,0.8058560553199142
